region_id,name,country,region_type
592,Capital Federal,ar,other
595,Entre RÃ­os,ar,province
596,Jujuy,ar,province
597,Mendoza Province,ar,province
598,RÃ­o Negro,ar,province
599,Salta Province,ar,province
600,San Juan Province,ar,province
601,San Luis Province,ar,province
602,Santiago del Estero Province,ar,province
603,Tierra del Fuego,ar,province
606,Styria,at,province
607,Tyrol,at,province
612,New South Wales,au,province
613,Northern Territory,au,province
614,Queensland,au,province
616,Tasmania,au,province
617,Victoria,au,province
621,Brussels Region,be,province
622,East-Flanders,be,province
623,Flemish Brabant,be,province
624,Hainaut Province,be,province
625,Liege Province,be,province
626,Limburg,be,province
627,Belgium Luxembourg,be,province
628,Namur Province,be,province
629,Walloon Brabant,be,province
630,West-Flanders,be,province
632,Ardennes Belge,be,free_region
633,Belgium Coast,be,other
642,Alagoas,br,province
643,Amazonas,br,province
644,Bahia,br,province
645,CearÃ¡,br,province
646,Distrito Federal,br,province
647,EspÃ­rito Santo,br,province
648,Mato Grosso do Sul,br,province
649,Minas Gerais,br,province
650,Parana,br,province
651,Pernambuco,br,province
652,Rio de Janeiro State,br,province
653,Rio Grande do Norte,br,province
654,Rio Grande do Sul,br,province
655,Santa Catarina,br,province
656,Sao Paulo State,br,province
657,Sergipe,br,province
658,British Columbia,ca,province
659,Ontario,ca,province
660,Quebec,ca,province
661,Nova Scotia,ca,province
663,Bernese Oberland,ch,free_region
664,Central Switzerland,ch,free_region
665,East Switzerland,li,free_region
666,Canton of Fribourg,ch,province
669,Lake Geneva / Vaud,ch,free_region
670,Canton of Ticino,ch,province
671,Canton of Valais,ch,province
672,Canton of Zurich,ch,province
673,Metropolitan Region,cl,province
674,Easter Island,cl,island
675,Anhui,cn,province
676,Chongqing Area,cn,province
677,Fujian,cn,province
678,Guangdong,cn,province
679,Guangxi,cn,province
680,Hainan,cn,province
681,Henan,cn,province
682,Hubei,cn,province
683,Jiangsu,cn,province
684,Tianjin Area,cn,province
685,Shaanxi,cn,province
686,Shandong,cn,province
687,Puntarenas,cr,province
693,Prague Region,cz,other
696,Hradec Kralove,cz,province
697,Karlovy Vary Region,cz,province
698,Central Bohemia,cz,province
699,Baden-WÃ¼rttemberg,de,province
700,Bavaria,de,province
702,Brandenburg,de,province
705,Hessen,de,province
706,Lower-Saxony,de,province
707,Mecklenburg-Pomerania,de,province
708,German Mosel,de,free_region
709,North Rhine-Westphalia,de,province
710,Rhineland-Palatinate,de,province
711,Saarland,de,province
713,Saxony-Anhalt,de,province
714,Schleswig-Holstein,de,province
715,Thuringia,de,province
716,Funen,dk,island
