chain_id,name
1018,Campanile
1019,Kyriad Hotel
1020,Premiere Classe
1021,Kyriad Prestige Hotel
1026,Amrath Hotels
1029,Best Western
1030,Fletcher Hotels
1031,Bastion Hotels
1032,Hampshire Hotels
1038,Hampshire Inns
1039,Hampshire Classic Hotels
1040,Park Plaza Hotels & Resorts
1041,art'otel
1042,Van der Valk Hotels
1043,NH Hotels
1044,WestCord Hotels
1045,Ramada
1046,Days Inn
1047,Travelodge by Wyndham
1048,Wyndham Hotels & Resorts
1049,Sofitel
1050,Novotel
1051,Mercure
1052,Novotel Suites
1053,ibis
1068,Zenit Hoteles
1070,InterContinental Hotels & Resorts
1071,Crowne Plaza Hotels & Resorts
1072,Holiday Inn Hotels & Resorts
1073,Even Hotels & Resorts
1074,Candlewood Suites
1075,Staybridge Suites
1077,nhow
1078,Hilton Hotels & Resorts
1080,Marriott Hotels & Resorts
1082,MeliÃ¡ Hotels & Resorts
1083,ME by MeliÃ¡
1084,TRYP Hoteles
1085,Sol Hotels
1086,A&O Hotels & Hostels
1087,Paradisus Resorts
1088,Sol House
1090,Eurostars Hotels
1092,Renaissance Hotels & Resorts
1093,Courtyard by Marriott
1094,"The Ritz-Carlton Company, L.L.C"
1097,JW Marriott Hotels & Resorts
1098,Residence Inn
1103,Warwick Hotels and Resorts
1107,VP Hotels
1112,Viva Hotels & resorts
1113,VIP Hotels
1114,Vincci Hoteles
1120,Comfort Inn
1121,Comfort Suites
1122,Quality Inn
1123,Sleep Inn
1124,Clarion
1125,Cambria Hotels
1127,Main Stay Suites
1128,Econo Lodge
1129,Rodeway Inn
1135,Village Hotels & Leisure Clubs
1154,Apex Hotels
1155,Apogia Hotel Group
1156,Appart'City
1159,AQUA Hotel Grup
1165,Arp-Hansen Hotel Group
1166,Astotel
1171,Austria Trend Hotels
1175,B&B Hotels
1177,Baglioni Hotels
1183,Barata Hotel Group
1184,BarcelÃ³ Hotels & Resorts
1191,Vila Gale
1192,Vienna House
1198,Valamar
1201,Macdonald Hotels & Resorts
1204,Falkensteiner Hotels & Residences
1206,Maistra Hospitality Group
1218,Palladium Hotel Group
1219,First Hotels
1226,H-Hotels.com
1231,Maritim
1233,Martins
1238,Medplaya
1248,Millennium Hotels
1249,Copthorne Hotels
1257,MÃ¶venpick Hotels & Resorts
1272,Oasis Hotels & Resorts
1280,Morgans Hotel Group
1282,Motel One
1297,Grecotel
1299,Greene King's Pubs & Hotels
1309,Bespoke Hotels
1313,OCA Hotels
1324,Omni Hotels
1325,Port Hotels
1328,Belmond Hotels
1329,Othon
1338,Grupotel
1348,Pestana Hotel & Resorts
1351,H10 Hotels
1353,Pierre & Vacances RÃ©sidences
1357,Senator Hotels & Resort
1364,Britannia Hotels
1391,Petit Palace Hoteles
1403,Principal Hotel Company
1404,Prinsotel
1408,Protur Hotels
1409,Q Hotels
1413,Qubus Hotel
1416,Thon Hotels
1422,Thistle
1428,Rafaelhoteles
1430,Hospes
1440,Relais & ChÃ¢teaux
1441,THB Hotels
1456,RH Hoteles
1461,Roc Hotels
1462,Rocco Forte Hotels
1466,Romantik
1467,Room Mate
1470,Rotana Hotels & Resorts
1472,Hoteles & Resort EXPO
1474,Swiss Quality Hotels
1487,Catalonia Hotels & Resorts
1490,Steigenberger Hotels & Resorts
1491,IntercityHotels
1492,Hoteles Center
1494,Starhotels
1496,Magic Costa Blanca
1500,Hoteles Globales
1501,Sorell Hotels
1510,Small Luxury Hotels of the World
1517,Shangri-La Group
1520,Sercotel Hoteles
1526,SB Hotels
1527,Savoy Signature
1528,Sandton Hotels
1529,SANA Hotels
1531,Port Blue
1533,IBB Hotels
1536,Lopesan Hotel Group
1541,Insotel
1561,Carlton Hotel Collection
1564,Faranda Hotels
1573,Hoteles Porcel
1576,Hoteles Santos
1577,Hoteles Servi Group
1578,Hoteles Silken
1579,Hoteles Var
1582,les Collectionneurs
1585,Citadines
1602,Classic British Hotels
1617,Ilunion Hotels
1619,Coral Hotels
1626,Evenia Hotels
1627,K+K Hotels
1629,Kempinski
1636,Danubius Hotels
1640,Barcelona Apartment
1641,Design Hotels
1646,Domina Hotels & Resorts
1651,Domus Hotels
1662,Liburnia Hotels & Villas
1664,Lindner Hotels & Resorts
1677,Dusit Hotels & Resorts
1679,Logis HÃ´tels
1682,Ecohoteles
1696,Hyatt
1705,London Premier
1711,NH Collection
1715,Scandic
1728,Mar Hotels
1737,Dorint Hotels
1738,Howard Johnson
1748,Loews Hotels
1750,Super 8
1763,Jumeirah
1764,Somerset
1765,Best Hotels
1771,Jurys Inns
1772,The Leading Hotels of the World
1774,Aquila Hotels
1783,Wingate by Wyndham
1787,La Quinta Inn and Suites
1791,MS Hoteles
1804,EIX Hotels
1825,Elite Hotels of Sweden
1839,Red Roof Inn
1844,Leonardo Hotels
1850,Meininger Hotels
1851,Hampton Inn
1854,Pullman Hotels and Resorts
1858,The Three Corners Hotels & resorts
1864,Hoteles Elba
1868,Mac Hotels
1869,Grupo PoseidÃ³n
1870,Domina Hotel Group
1873,Corinthia Hotels
1875,Far East Hospitality
1879,Luna Hoteis
1883,Travelodge
1888,Conrad Hotels & Resorts
1889,all seasons (Accor)
1914,Divan Hotels
1916,Ascott The Residence
1918,SallÃ©s Hotels
1922,Iberostar Hotels & Resorts
1923,Hotel 81
1932,Caesars Entertainment
1936,MGallery 
1944,Kingsgate Hotels
1945,Parc Hotels
1946,Majestic Hotel Group
1962,Chincherini Holiday
1970,Premier Hotels & Resorts
1977,pentahotels
1978,Mellow Mood Hotels
1981,Orea Hotels
1982,Homewood Suites by Hilton
1983,Embassy Suites Hotels
1984,Doubletree by Hilton
1987,Pan Pacific Hotels & Resorts
1993,Baymont Inn & Suites
2003,JS Hotels
2004,Quinta Real
2007,Vanity Hotels by Viva
2008,AMW Hotele
2012,Mandarin Oriental
2019,The Langham Hotels and Resorts
2020,The Indian Hotels Co Ltd
2030,Centara Hotels and Resorts
2038,Nacional Inn
2042,Hoposa
2068,Compass Hospitality
2070,Gloria Hotels & Resorts
2073,Berjaya Hotels & Resorts
2077,Holiday Villa Hotels & Resorts
2079,Sunway Hotels & Resorts
2092,South Beach Group
2095,Diamond Resorts
2101,Oberoi Hotels & Resorts
2105,Blau Hotels & Resorts
2110,Hawthorn Suites
2111,Microtel Inns & Suites
2113,Innside by Melia
2117,Hilton Garden Inn
2120,Continental Hotels
2121,Swiss-Belhotel International
2133,Royal Orchid Hotels
2135,YIT Hoteles
2145,Extended Stay America Suites
2147,Blau Parc Hotels
2154,Waldorf Astoria Hotels & Resorts
2160,Windsor
2165,Acta Hotels
2172,Medina
2173,Adina
2174,Vibe Hotels
2175,Travelodge Hotels
2187,SpringHill Suites
2188,Fairfield Inn
2189,Rydges
2191,Turim Hotels Group
2193,Quest Apartment Hotels
2194,Grupo Intur
2198,Azimut
2200,GSM Hoteles
2201,Atlas Hotels
2203,Prima Hotels Israel
2207,Hotel Indigo
2213,Fiesta Americana Hotels and Resorts
2219,Bristol HotÃ©is and Resorts
2220,Promenade
2239,Isrotel Hotels & Resorts
2245,Hoteles H2
2252,Stayingvalencia
2271,Rede AtlÃ¢ntico
2272,Transamerica Hospitality Group
2273,Slaviero Hoteis
2285,Accor
2298,Hualuxe Hotels & Resorts
2301,Holiday Inn Express
2305,Select Hotels
2310,Plava Laguna
2312,Traders Hotels
2322,Mantra Hotels
2336,Alvarez Arguelles Hoteles
2339,Victoria Group Hotels & Resorts
2344,Karisma Hotels
2345,CGH
2347,Dedeman Hotels
2348,Albena
2368,Sandman Hotel Group
2371,Derby Hotels
2378,Ascend Collection
2382,The Address Hotels and Resorts
2384,Meriton Suites
2391,Six Senses Resorts & Spas
2395,Bluesun Hotels & Resorts
2397,MGM Resorts International
2399,Dan Hotels & Resort
2402,Four Seasons Hotels and Resorts
2408,hotelF1
2437,Youth Hostels Association
2445,Lagrange 
2446,Hallmark Hotels
2452,Hilton Grand Vacations
2458,Lotte Hotels
2467,Aston
2480,Casa Andina
2494,Banyan Tree Hotels & Resorts
2501,Daiwa Roynet Hotels
2506,Dormy Inn
2507,Mystays Hotel Group
2522,Rede Mirador
2524,Atlantica Hotels International
2525,Blue Tree Hotels
2526,Rixos Hotels
2531,Parkroyal Hotels & Resorts
2542,Autograph Collection
2553,Nobile Hoteis
2556,Aitken Spence Hotels
2557,Heritance Hotels
2565,Candeo Hotels
2569,Master Hotels
2570,Universal Orlando Resort
2574,Plaza Inn Hoteis
2580,Mitsui Garden
2584,Porto Bay Hotels & Resorts
2588,Atlantis Resorts
2589,One&Only Resorts
2591,LiveMax
2601,Golden Chain Motels
2602,Be Live Hotels
2604,Hotels Latitudes
2605,Pierre & Vacances Premium
2618,Sandos Hotels & Resorts
2624,Intercity Hoteis
2627,Peppers Hotels
2628,BreakFree Hotels
2640,Blue Bay Resorts
2647,Louis Hotels
2653,Nikko Hotels International
2664,Nordic Choice Hotels
2681,Laris Hotels
2695,Amerian
2698,Jetwing Hotels Limited
2713,GHL
2714,Suburban
2719,Resorts World Genting
2724,Unita Turism Holding
2752,Interhome
2756,Unizo
2763,Dann Hotels
2764,Cinnamon Hotels & Resorts
2766,Hesperia Resorts
2773,25hours Hotels
2776,YOTEL
2810,Amaks Hotels & Resorts
2811,AC Hotels by Marriott
2831,Prince Hotels & Resorts
2835,Route Inn
2839,RZD-Resorts and Spa Hotels
2843,Union Hotels Collection
2846,City Express Hotels
2849,VR Hotels and Resorts
2850,RIU Hotels & Resorts
2852,Clarion Collection
2853,Urlaub am Bauernhof
2856,Andrade Hoteis
2880,Toyoko Inn
2881,Silver Cloud Inns and Hotels
2886,Hoteles Estelar
2888,Adonis
2892,Solare Hotels and Resorts
2901,easyHotel
2902, Montebelo Hotels & Resorts
2907,Hotel JAL CITY
2910,TownePlace Suites by Marriott
2932,Centro Hotel Group
2933,Sun International
2942,Universal Beach Hotels
2948,Decameron Hotels & Resorts
2949,Dorchester Collection
2967,Kenzi
2968,Atlas
2971,Hotel Brain
2985,Motel6
2994,Adagio Access Aparthotels
3007,The Peninsula Hotels
3009,City Junior
3010,City Suites
3032,Beachcomber Resorts & Hotels
3038,Tune Hotels
3064,Maldron
3069,C-Hotels
3081,Protea Hotels by Marriott
3086,ibis Styles
3094,Okura Hotels & Resorts
3100,Hard Rock
3127,BahÃ­a PrÃ­ncipe Hotels & Resorts
3128,Gran Melia Hotels & Resorts
3135,Grand Mercure
3147,Amari
3148,Saffron Collection
3149,Shama
3150,OZO
3162,Sentido
3166,CitizenM
3169,Marriott Vacation Club
3186,ibis Budget
3203,Home2 Suites by Hilton
3215,Super Hotel
3219,Brownsword Hotels
3220,Tierra Viva Hotels
3226,Beauty Hotels
3243,Hostelling International
3265,Gooderson Leisure
3292,Belvilla
3326,Elegance Hotels & Resorts
3334,Nord HotÃ©is
3346,The Capital Hotel & Apartments
3354,Rede Brisa de HotÃ©is
3367,V Hotel Management Pte Ltd
3368,Venue Hotel
3369,Warwick International Hotels and Resorts
3380,APA Hotels&Resorts
3381,Green Rich Hotels
3395,Sotetsu Fresa Inn
3415,Warwick International Hotels and Resorts - Internal
3422,The Leela
3452,Exe Hotels
3454,Outrigger Hotels & Resorts
3459,Art Series Hotels
3474,JUFA Hotels
3536,Rogers Hospitality
3543,Marston's Inns
3578,Rosewood Hotels & Resorts
3628,Park Hyatt
3629,Andaz
3630,Grand Hyatt
3631,Hyatt Regency
3632,Hyatt Place
3633,Hyatt House
3634,Hyatt Residence Club
3638,Drury
3642,Absolute Hotel Services
3643,U Hotels & Resorts
3646,Eastin Easy
3707,Adagio Aparthotels
3711,Rendezous Hotels
3873,Grifid Hotels
3879,Centurion Hotel
3893,Tryp
3899,Oakwood Premier
3900,Oakwood Residence
3901,Oakwood Apartments
3920,Onahotels
3951,Discovery Holiday Parks
3953,OlÃ© Hoteles
3955,Accent Hotels
3961,Bulgari Hotels and Resorts
3969,Pierre & Vacances Villages
3973,Sol Beach House
4015,Vivanta by Taj
4019,Laghetto HotÃ©is
4047,Che Lagarto
4049,Menada
4059,Gaylord Hotels
4060,Edition
4072,Fort Noks Resorts
4073,Dinevi Resort
4075,Hoteis Suarez
4115,Eastin Hotels & Residences
4128,Moxy Hotels
4182,Elite Havens
4212,Park Hotel Group
4297,YMCA
4298,Muthu Hotels
4333,Generator Hostels
4370,Marriott Executive Apartments
